,complex_FB15k,complex_FB15k-237,complex_WN18,complex_WN18RR,conve_FB15k,conve_FB15k-237,conve_WN18,conve_WN18RR,transe_FB15k,transe_FB15k-237,transe_WN18,transe_WN18RR,AVG
criage,0.083,0.069,0.071,0.204,0.056,0.041,0.187,0.21,0.0,0.0,0.0,0.0,0.07675
DP,0.472,0.179,0.718,0.691,0.178,0.161,0.744,0.798,0.096,0.125,0.873,0.84,0.4895833333333333
k1,0.448,0.216,0.452,0.429,0.115,0.126,0.46,0.517,-0.006,0.152,0.697,0.77,0.3646666666666667
kelpie,0.612,0.475,0.728,0.869,0.391,0.119,0.734,0.915,0.122,0.237,0.756,0.986,0.5786666666666667
AnyBurlAttack,0.504,0.224,0.74,0.708,0.176,0.213,0.891,0.87,0.092,0.173,0.906,0.903,0.5333333333333333
eXpath(011)1,0.268,0.169,0.737,0.671,0.106,0.199,0.453,0.394,0.018,0.118,0.539,0.75,0.3685
eXpath(101)1,0.455,0.147,0.768,0.705,,,0.891,0.816,0.058,,0.906,,0.5932499999999999
eXpath(110)1,0.456,0.224,0.768,0.696,0.214,0.147,0.891,0.87,0.086,0.154,0.906,0.752,0.5136666666666666
eXpath(100)1,0.442,0.165,0.768,0.711,0.207,0.015,0.891,0.87,0.091,0.194,0.906,0.738,0.4998333333333334
eXpath(011)4,0.496,0.528,0.855,0.886,0.259,0.42,0.684,0.808,0.101,0.396,0.79,0.988,0.6009166666666667
eXpath(101)4,0.642,0.47,0.835,0.87,0.344,0.294,0.924,0.942,0.272,0.391,0.938,0.978,0.6583333333333333
eXpath(110)4,0.697,0.485,0.845,0.884,0.468,0.4,0.925,0.964,0.328,0.4,0.939,0.988,0.6935833333333333
eXpath(100)4,0.642,0.413,0.823,0.855,0.407,0.206,0.919,0.957,0.326,0.26,0.928,0.994,0.6441666666666666
eXpath()1,0.456,0.215,0.768,0.722,0.175,0.153,0.868,0.857,0.089,0.166,0.906,0.515,0.4908333333333334
eXpath(h)1,0.46,0.209,0.768,0.708,0.233,0.107,0.891,0.816,0.058,0.118,0.906,0.752,0.5021666666666667
eXpath1,0.456,0.215,0.768,0.708,0.175,0.153,0.891,0.816,0.089,0.166,0.906,0.752,0.5079166666666667
eXpath()4,0.693,0.56,0.808,0.903,0.45,0.464,0.915,0.959,0.306,0.373,0.941,0.894,0.6888333333333333
eXpath(h)4,0.64,0.441,0.859,0.905,0.437,0.362,0.921,0.953,0.283,0.332,0.934,0.992,0.6715833333333334
eXpath(t)4,0.59,0.425,0.794,0.833,0.306,0.2,0.846,0.892,0.07,0.257,0.81,0.182,0.5170833333333333
eXpath4,0.693,0.56,0.859,0.905,0.45,0.464,0.921,0.953,0.306,0.373,0.934,0.992,0.7008333333333333
criage+eXpath1,0.483,0.286,0.773,0.737,0.218,0.227,0.891,0.823,,,,,0.55475
DP+eXpath1,0.52,0.263,0.797,0.734,0.255,0.293,0.899,0.905,0.207,0.276,0.916,0.883,0.5790000000000001
k1+eXpath1,0.53,0.285,0.784,0.729,0.248,0.249,0.894,0.847,0.156,0.277,0.915,0.879,0.5660833333333333
AnyBurlAttack+eXpath1,0.535,0.312,0.787,0.736,0.257,0.329,0.891,0.904,0.214,0.279,0.906,0.919,0.5890833333333334
kelpie+eXpath4,0.712,0.601,0.864,0.951,0.492,0.464,0.924,0.96,0.31,0.447,0.938,0.992,0.72125
